step,abs_x,loss,v,g_sq,coupling_ratio
1.0,0.999,0.24900149900025,1.0,1.0,1.0
2.0,0.9979999703161972,0.2480059624979454,0.9995810486010496,0.994014980014994,1.0055995821974149
3.0,0.9969998856689799,0.2470133597151447,0.9987745516727408,0.9880596639109229,1.0108443732227732
4.0,0.9959997246301049,0.24602366398545633,0.9976096980375587,0.982133785455854,1.01575743835604
5.0,0.994999469141286,0.24503685222108718,0.9961136164826982,0.9762371043966963,1.0203603325426618
6.0,0.99399910409407,0.244052904449002,0.9943115215420324,0.9703694030446155,1.024673200146559
7.0,0.9929986169624758,0.24307180340651086,0.9922268488657237,0.9645304833090508,1.0287148680481863
8.0,0.9919979974811924,0.24209353418810475,0.9898813809333229,0.9587201641171408,1.032502932537022
9.0,0.9909972373632222,0.2411180839366015,0.9872953638095523,0.9529382791651713,1.0360538404171147
10.0,0.9899963300517667,0.24014544157269985,0.9844876155898594,0.9471846749567969,1.0393829647156865
100.0,0.8995240895428585,0.16367833636602355,0.5846817937523627,0.5333252336088437,1.0962950126998594
200.0,0.7987848051058402,0.10177923640983957,0.2904732976581712,0.26173649362670137,1.1097928822736327
300.0,0.6979607628971167,0.05932859223058614,0.13147338245006865,0.11661361461676932,1.1274273838619393
400.0,0.5970340544696726,0.03176409041999903,0.05269590832355673,0.045750771897547005,1.151803699434022
500.0,0.4959790476441214,0.01512841153706464,0.01789727146382766,0.015069111631850828,1.1876792674359842
600.0,0.39476418226727106,0.006071429748506037,0.004787232637128391,0.003843304613786676,1.2456032290429602
700.0,0.2933651944040527,0.001851715899951563,0.0008814054875297984,0.000650803930576588,1.3543333807909026
800.0,0.1918757844155861,0.00033886029282800183,8.376664586314926e-05,5.150527053939561e-05,1.6263703692047866
900.0,0.09169926600122583,1.7676791781879338e-05,1.946385359627962e-06,6.334155767033311e-07,3.0728410086756965
1000.0,0.013498165498110193,8.299252982344978e-09,3.1982420112081634e-09,7.345437142711904e-12,435.40526575486916
1100.0,0.003383780161938201,3.2775442855522374e-11,2.2584847065970854e-12,1.4420064194746084e-15,1566.2098837396015
1200.0,0.00041579734223015863,7.47251584620207e-15,1.6035709316840415e-15,3.735636372714071e-21,429263.12191327946
1300.0,0.00022976949212610227,6.968021240553756e-16,1.1318384879862454e-18,1.439327123769551e-22,7863.663994756085
1400.0,3.693739919020671e-05,4.653773694902534e-19,7.983193932247639e-22,1.694797150380459e-27,471041.26475876605
1500.0,3.0775542327972786e-06,2.2426570613190386e-23,5.629790225470381e-25,5.449051124396502e-33,103316891.2705677
1600.0,2.2115924886432614e-06,5.98081589174982e-24,3.970001366003079e-28,2.6009944348932507e-34,1526339.8155505913
1700.0,2.784319897817303e-07,1.5025070996952515e-27,2.7995373018718995e-31,1.922155823672813e-41,14564569986.436403
1800.0,1.5683330508700772e-08,1.5124923543586514e-32,1.9741552994582833e-34,2.971656345756714e-44,6643282633.529338
